Period (days),Log of Amplitude
305.8968015,4.964633671
306.1089065,4.96623868
306.3211586,4.967839627
306.5335578,4.969436476
306.7461043,4.97102919
306.9587983,4.972617733
307.1716396,4.97420207
307.3846286,4.975782163
307.5977652,4.977357978
307.8110497,4.978929478
308.024482,4.980496628
308.2380623,4.982059392
308.4517907,4.983617734
308.6656673,4.985171621
308.8796922,4.986721015
309.0938655,4.988265882
309.3081873,4.989806187
309.5226578,4.991341894
309.7372769,4.99287297
309.9520448,4.994399379
310.1669617,4.995921086
310.3820276,4.997438058
310.5972426,4.998950259
310.8126068,5.000457655
311.0281204,5.001960213
311.2437834,5.003457897
311.4595959,5.004950675
311.6755581,5.006438513
311.89167,5.007921376
312.1079318,5.009399231
312.3243435,5.010872046
312.5409053,5.012339786
312.7576173,5.013802418
312.9744795,5.01525991
313.1914921,5.016712228
313.4086551,5.01815934
313.6259687,5.019601214
313.8434331,5.021037816
314.0610482,5.022469114
314.2788141,5.023895077
314.4967311,5.025315673
314.7147992,5.026730868
314.9330185,5.028140633
315.1513891,5.029544934
315.3699112,5.030943741
315.5885847,5.032337023
315.8074099,5.033724747
316.0263868,5.035106884
316.2455155,5.036483402
316.4647962,5.037854271
316.6842289,5.03921946
316.9038138,5.040578938
317.1235509,5.041932676
317.3434404,5.043280644
317.5634824,5.044622811
317.7836769,5.045959147
318.0040241,5.047289624
318.2245241,5.048614211
318.445177,5.04993288
318.6659829,5.0512456
318.8869419,5.052552344
319.1080541,5.053853082
319.3293196,5.055147786
319.5507386,5.056436427
319.7723111,5.057718977
319.9940372,5.058995407
320.215917,5.06026569
320.4379507,5.061529798
320.6601384,5.062787702
320.8824801,5.064039376
321.104976,5.065284792
321.3276262,5.066523923
321.5504307,5.067756742
321.7733897,5.068983222
321.9965034,5.070203335
322.2197717,5.071417057
322.4431949,5.072624359
322.6667729,5.073825217
322.890506,5.075019603
323.1143943,5.076207492
323.3384377,5.077388858
323.5626365,5.078563676
323.7869908,5.07973192
324.0115007,5.080893564
324.2361662,5.082048585
324.4609875,5.083196956
324.6859646,5.084338653
324.9110978,5.085473652
325.1363871,5.086601927
325.3618326,5.087723456
325.5874344,5.088838212
325.8131927,5.089946174
326.0391074,5.091047316
326.2651789,5.092141615
326.4914071,5.093229048
326.7177921,5.094309591
326.9443341,5.095383222
327.1710332,5.096449916
327.3978895,5.097509652
327.6249031,5.098562407
327.8520741,5.099608158
328.0794026,5.100646883
328.3068888,5.10167856
328.5345327,5.102703166
328.7623344,5.10372068
328.9902941,5.104731081
329.2184118,5.105734346
329.4466877,5.106730454
329.6751219,5.107719385
329.9037145,5.108701117
330.1324656,5.109675628
330.3613753,5.110642899
330.5904438,5.111602909
330.819671,5.112555638
331.0490573,5.113501065
331.2786025,5.114439169
331.5083069,5.115369932
331.7381707,5.116293334
331.9681937,5.117209354
332.1983763,5.118117974
332.4287185,5.119019174
332.6592204,5.119912935
332.8898821,5.120799238
333.1207038,5.121678064
333.3516855,5.122549394
333.5828274,5.12341321
333.8141296,5.124269495
334.0455921,5.125118228
334.2772151,5.125959393
334.5089988,5.126792972
334.7409431,5.127618946
334.9730483,5.128437299
335.2053144,5.129248013
335.4377416,5.13005107
335.6703299,5.130846454
335.9030795,5.131634147
336.1359905,5.132414133
336.3690629,5.133186395
336.602297,5.133950917
336.8356928,5.134707682
337.0692505,5.135456674
337.3029701,5.136197877
337.5368517,5.136931276
337.7708956,5.137656854
338.0051017,5.138374596
338.2394702,5.139084486
338.4740012,5.13978651
338.7086948,5.140480651
338.9435512,5.141166896
339.1785704,5.14184523
339.4137525,5.142515637
339.6490978,5.143178103
339.8846062,5.143832614
340.1202779,5.144479155
340.3561131,5.145117713
340.5921117,5.145748274
340.828274,5.146370823
341.0646001,5.146985348
341.30109,5.147591835
341.5377439,5.14819027
341.7745619,5.14878064
342.0115441,5.149362933
342.2486906,5.149937134
342.4860015,5.150503233
342.723477,5.151061216
342.9611172,5.15161107
343.1989221,5.152152783
343.436892,5.152686344
343.6750268,5.15321174
343.9133268,5.153728959
344.151792,5.15423799
344.3904225,5.154738821
344.6292185,5.15523144
344.8681801,5.155715837
345.1073073,5.156192
345.3466004,5.156659918
345.5860594,5.15711958
345.8256845,5.157570977
346.0654757,5.158014096
346.3054331,5.158448928
346.545557,5.158875463
346.7858473,5.159293689
347.0263043,5.159703598
347.266928,5.16010518
347.5077185,5.160498424
347.748676,5.160883321
347.9898006,5.161259862
348.2310923,5.161628037
348.4725514,5.161987838
348.7141779,5.162339255
348.9559719,5.162682279
349.1979336,5.163016902
349.4400631,5.163343115
349.6823605,5.163660909
349.9248258,5.163970277
350.1674593,5.16427121
350.410261,5.1645637
350.6532311,5.164847738
350.8963697,5.165123319
351.1396768,5.165390432
351.3831527,5.165649072
351.6267973,5.165899231
351.870611,5.166140901
352.1145936,5.166374076
352.3587455,5.166598748
352.6030666,5.16681491
352.8475571,5.167022557
353.0922172,5.16722168
353.3370469,5.167412275
353.5820464,5.167594334
353.8272158,5.167767851
354.0725551,5.167932821
354.3180646,5.168089237
354.5637443,5.168237093
354.8095944,5.168376384
355.0556149,5.168507105
355.301806,5.168629249
355.5481678,5.168742812
355.7947005,5.168847788
356.041404,5.168944173
356.2882787,5.16903196
356.5353245,5.169111147
